"term","key","idx","value"
"Alk.Phosphatase","df",NA,"4"
"Alk.Phosphatase","knots",1,"54"
"Alk.Phosphatase","knots",2,"66"
"Alk.Phosphatase","knots",3,"82"
"Alk.Phosphatase","Boundary.knots",1,"30"
"Alk.Phosphatase","Boundary.knots",2,"180"
"Alk.Phosphatase","intercept",NA,"FALSE"
"CRP","df",NA,"4"
"CRP","knots",1,"0.16"
"CRP","knots",2,"1.58"
"CRP","knots",3,"7.58"
"CRP","Boundary.knots",1,"0.02"
"CRP","Boundary.knots",2,"30"
"CRP","intercept",NA,"FALSE"
"Albumin","df",NA,"4"
"Albumin","knots",1,"3.8"
"Albumin","knots",2,"4.2"
"Albumin","knots",3,"4.5"
"Albumin","Boundary.knots",1,"2.2"
"Albumin","Boundary.knots",2,"5.3"
"Albumin","intercept",NA,"FALSE"
"BUN","df",NA,"4"
"BUN","knots",1,"11.8"
"BUN","knots",2,"14.6"
"BUN","knots",3,"18.1"
"BUN","Boundary.knots",1,"2.7"
"BUN","Boundary.knots",2,"138.9"
"BUN","intercept",NA,"FALSE"
"Sodium","df",NA,"4"
"Sodium","knots",1,"138"
"Sodium","knots",2,"140"
"Sodium","knots",3,"142"
"Sodium","Boundary.knots",1,"128"
"Sodium","Boundary.knots",2,"148"
"Sodium","intercept",NA,"FALSE"
"aPTT","df",NA,"4"
"aPTT","knots",1,"28"
"aPTT","knots",2,"30"
"aPTT","knots",3,"34"
"aPTT","Boundary.knots",1,"20"
"aPTT","Boundary.knots",2,"100"
"aPTT","intercept",NA,"FALSE"
